"","Gene.symbol","Log2FoldChange","ENTREZID"
"511","EP300",1.936578244,"2033"
"512","FUCA2",1.934730483,"2519"
"513","EBPL",1.934599457,"84650"
"514","CUL4B",1.932097513,"8450"
"515","MRPS18A",1.926738697,"55168"
"516","ODAM",1.923034653,"54959"
"517","MIR3142HG",1.922488537,"107075116"
"518","ISOC2",1.918966689,"79763"
"519","HIKESHI",1.918072912,"51501"
"520","NCAPG",1.915030909,"64151"
"521","COPS5",1.914564799,"10987"
"522","PPIL4",1.914463993,"85313"
"523","SSR3",1.910512787,"6747"
"524","CNST",1.910202188,"163882"
"525","MED13L",1.909536008,"23389"
"526","GPX7",1.909077306,"2882"
"527","SRFBP1",1.908856769,"153443"
"528","BAG2",1.907249586,"9532"
"529","MSH3",1.905947383,"4437"
"530","RIT1",1.904845913,"6016"
"531","PSMB9",1.904665351,"5698"
"532","PLEKHA7",1.900154556,"144100"
"533","CLDN1",1.899678448,"9076"
"534","NEU1",1.898835601,"4758"
"535","EPHX4",1.898419588,"253152"
"536","ZNF19",1.898144959,"7567"
"537","SLC27A2",1.897823796,"11001"
"538","RNF13",1.89720057,"11342"
"539","CD58",1.896779007,"965"
"540","TTC14",1.892330011,"151613"
"541","ULBP2",1.892159943,"80328"
"542","GDF15",1.890864866,"9518"
"543","IPMK",1.888174351,"253430"
"544","PCF11",1.886779695,"51585"
"545","GAPDH",1.886213308,"2597"
"546","FAM200A",1.885658645,"221786"
"547","RRN3",1.881764147,"54700"
"548","NDUFAF7",1.881288018,"55471"
"549","DHPS",1.881264134,"1725"
"550","PPP2R3A",1.880398561,"5523"
"551","INSIG2",1.877068575,"51141"
"552","SLC41A2",1.874885139,"84102"
"553","ANKIB1",1.873516872,"54467"
"554","TBC1D23",1.871598224,"55773"
"555","KDM4C",1.870484892,"23081"
"556","AADAC",1.868139499,"13"
"557","NPC1",1.868123404,"4864"
"558","TBC1D3P1-DHX40P1",1.868098635,"653645"
"559","EIF3I",1.866876096,"8668"
"560","SEC63",1.866535706,"11231"
"561","KMT5A",1.865864242,"387893"
"562","LRRC34",1.863334722,"151827"
"563","ITGA2",1.860605049,"3673"
"564","FAM169A",1.86040467,"26049"
"565","CA2",1.859370255,"760"
"566","CDC37L1",1.856353399,"55664"
"567","RPL39L",1.854950582,"116832"
"568","PPCS",1.851655888,"79717"
"569","BEX4",1.848341144,"56271"
"570","MFSD11",1.848022818,"79157"
"571","AKIP1",1.847733306,"56672"
"572","GNG11",1.846226371,"2791"
"573","LURAP1L",1.846010893,"286343"
